norm_name,github_login,decision,source,note,decided_at
milen dyankov,azzazzel,confirm,human,confirmed correct person (was parked MED),2026-06-27
soroosh khodami,cmandesign,confirm,human,confirmed correct person (was parked MED),2026-06-27
ioannis kolaxis,ikolaxis,confirm,human,confirmed correct person (was parked MED),2026-06-27
andrew madson,andymadson,reject,auto,no jvm repos no bio fivetran is data-eng not jvm,2026-06-27
bruno souza,bgsouza,reject,auto,middle initial G differs CoffeeInCO company mismatch,2026-06-27
dennis schulz,Pluto1010,reject,auto,multiple candidates none show TNG company or jvm repos,2026-06-27
gytenis mikulenas,gtennis,confirm,auto,rare Lithuanian name Mambu is java banking platform,2026-06-27
josian chevalier,JosianChevalier,confirm,auto,distinctive name Shodo is known French jvm-tdd company,2026-06-27
julian burr,julianburr,reject,auto,no jvm repos no bio generic senior developer affiliation,2026-06-27
luis fraile,lfraile,confirm,auto,msmvps org aligns with Plain Concepts microsoft partner 63 followers,2026-06-27
olena kutsenko,anelook,confirm,auto,Confluent is kafka jvm ecosystem distinctive name 45 followers,2026-06-27
sofia lescano carroll,sofia-lescano-carroll,confirm,auto,distinctive triple-compound name single candidate exact match,2026-06-27
thomas hugle,ThomasHugleTNG,confirm,auto,login contains TNG matching affiliation TNG Technology Consulting,2026-06-27
gojko adzic,gojko,confirm,auto,exact name 516 flw claudiajs org known author/speaker,2026-06-27
bartosz cytrowski,cytrowski,confirm,auto,exact name 148 flw Polish dev org Sniadanie-z-Programowaniem,2026-06-27
pavol dudrik,palibook,reject,auto,0 flw no bio no JVM no corroboration login not obvious,2026-06-27
mary fesenko,mfesenko,confirm,auto,exact name natural login company changed Chronosphere vs Dropbox,2026-06-27
jakub gajski,jakubgajski,confirm,auto,exact name natural login j-labs speaker,2026-06-27
micha gniadek,MichalGniadek,confirm,auto,exact name 25 flw unique Polish name Ten Square Games,2026-06-27
serges goma,sergesgoma,confirm,auto,exact name unique name natural login,2026-06-27
dotan horovits,horovits,confirm,auto,exact name 12 flw known observability speaker,2026-06-27
wei hu,HcwXd,reject,auto,name mismatch Cheng-Wei Hu vs Wei Hu common name no JVM,2026-06-27
arnaud jean,jean-developer,reject,auto,different person Jean Carlos Arnaud B not Arnaud Jean from AWS,2026-06-27
agata kabat,agatakabat,confirm,auto,exact name sibling account agatkabat-ibm corroborates IBM aff,2026-06-27
mateusz kwasniewski,PadreMateo8,reject,auto,0 flw no bio no JVM no company login weakly maps to name,2026-06-27
emilia lendzion barszcz,sfc-gh-elendzionbarszcz,confirm,auto,sfc prefix=Snowflake org login pattern matches affiliation,2026-06-27
jacek marmuszewski,jmarmuszewski,confirm,auto,exact name natural login 5 flw unique surname,2026-06-27
jan mazurek,Maiquey,reject,auto,bio says SFU student Canada not EPAM Systems engineer,2026-06-27
pawel piwosz,pawelpiwosz,confirm,auto,exact name 76 flw natural login UpCloud speaker,2026-06-27
micha poczwardowski,dmp0x7c5,confirm,auto,exact name 10 flw unique Polish name initials-based login,2026-06-27
szymon so tys,szymonHtf,confirm,auto,exact name htf handle consistent across two accounts,2026-06-27
artur wojnar,arturwojnar,confirm,auto,exact name natural login company field self-named MasterBorn,2026-06-27
ihor zhuravlov,IhZhur,confirm,auto,initials Ih+Zhur match unique name Sigma Software,2026-06-27
alexander gunsche,lxg,confirm,auto,company @aws matches Amazon Web Services affiliation,2026-06-27
alexandra badea,Alexandra-Badea,reject,auto,common name multiple candidates no company or JVM corroboration,2026-06-27
alexandru gheorghe,AlexanderGheorghe,reject,auto,common name no company or JVM corroboration multiple candidates,2026-06-27
andreea dragomirescu,AndreeaDrago,reject,auto,company nShift does not match Criteo R&D no JVM repos,2026-06-27
andreea gulie,cw-AndreeaGulie,confirm,auto,distinctive name cw- prefix suggests company workspace account,2026-06-27
andrei stanca,ILikeCinnamon,confirm,auto,name match reversed Stanca Andrei bio says Eastern European software engineer,2026-06-27
bogdan burtea,razvanbrb,reject,auto,candidate primary first name is Razvan not Bogdan different person,2026-06-27
bogdan cioc,BogdanCioc74,reject,auto,company Politehnica Bucharest is university not SAP no JVM,2026-06-27
bogdan neacsu,neacsu,reject,auto,no company or JVM corroboration multiple candidates with same name,2026-06-27
catalin gheorghiu,CatalinGheorghiu,reject,auto,bio says frontend developer no EPAM affiliation no JVM repos,2026-06-27
chris armstrong,carmstrong,reject,auto,company Chainguard not SmartBear no JVM repos,2026-06-27
corina patachia,copatachia,confirm,auto,distinctive surname single candidate exact name match,2026-06-27
cosmin argatu,arcosmin,confirm,auto,distinctive Romanian surname single top candidate by followers,2026-06-27
cosmin trandafir,Trandafir-Cristian,reject,auto,candidate full name is Trandafir Cristian-Cosmin first name is Cristian,2026-06-27
cristian cordos,icordos,reject,auto,no Amazon affiliation candidate is Ioan-Cristian Cordos,2026-06-27
dan mihai dinu,danmdinu,confirm,auto,exact 3-part name match single candidate,2026-06-27
daniel fifiita,dfifiita,confirm,auto,highly distinctive surname Fifiita single candidate exact match,2026-06-27
daniela prodan,Danielaa111,reject,auto,company Technical University of Moldova not Microsoft Romania,2026-06-27
diana rusu,dianne21,reject,auto,common Romanian name five matching candidates no corroboration,2026-06-27
dmytro tereshchenko,US3RN2ME,confirm,auto,distinctive Ukrainian name top candidate by followers among matches,2026-06-27
erika dietrick,erdietri,confirm,auto,distinctive name single candidate company mismatch may reflect job change,2026-06-27
etienne bernard,ebernard,reject,auto,common French name multiple candidates no NuMind corroboration,2026-06-27
gabriela pepino,gabriela26121006,confirm,auto,distinctive surname Pepino single candidate exact match,2026-06-27
george barbulescu,GeorgeCosminBarbulescu,reject,auto,bio indicates frontend JS developer company DB not BCR,2026-06-27
gerard van engelen,GVengelen,confirm,auto,distinctive Dutch name single candidate exact match,2026-06-27
horia niculescu,Horia-Niculescu,reject,auto,no Google affiliation two candidates with same name no corroboration,2026-06-27
jeff watkins,jeffwatkins,reject,auto,common name no Business AI Alliance corroboration,2026-06-27
jonathan filogna,jfilogna,confirm,auto,distinctive surname Filogna single candidate exact match,2026-06-27
lucian popovici,lucianpopovici,confirm,auto,single candidate exact name match,2026-06-27
luiza cicone,luiza-cicone,confirm,auto,distinctive surname Cicone single candidate,2026-06-27
marian andrei,andrei-rizoiu,reject,auto,candidate last name is Rizoiu not Andrei Marian Andrei is first plus last,2026-06-27
marius costin,CMarius94,reject,auto,company DNNSharp not eMAG no JVM repos,2026-06-27
mohamed gamal,MoGamal27,reject,auto,common name multiple candidates no Vinted corroboration,2026-06-27
natalie godec,ngodec,confirm,auto,distinctive surname Godec single candidate,2026-06-27
nick ciolpan,nickciolpan,confirm,auto,distinctive Romanian name single candidate,2026-06-27
nicoleta tirdea,nicoletatattirdea,confirm,auto,distinctive surname Tirdea single candidate exact name match,2026-06-27
paula andrei,Andr3iGM,reject,auto,candidate is Brazilian Andrei Serafim de Paula completely different person,2026-06-27
peter szanto,peterk55,confirm,auto,distinctive Hungarian name Szanto Peter name tokens match,2026-06-27
radu stefan,Stefan-Radu,reject,auto,common Romanian name reversed order no Avaelgo corroboration,2026-06-27
radu vunvulea,vunvulear,confirm,auto,highly distinctive Romanian surname Vunvulea single candidate,2026-06-27
rail mazgutov,RailMazgutov,confirm,auto,distinctive Tatar name single candidate exact match,2026-06-27
raluca minea,ralucaminea,confirm,auto,distinctive Romanian name single candidate,2026-06-27
sorin mihailescu,FarahTrip,confirm,auto,exact name match Traveleon is travel company consistent with Booking Holdings aff,2026-06-27
stefan mihai,mihaimoga,reject,auto,candidate full name is Stefan-Mihai MOGA last name is MOGA C++ dev not JVM,2026-06-27
steliana moraru,stelianamoraru,confirm,auto,distinctive Romanian first name Steliana single candidate,2026-06-27
vlad valentin,vvalentinv,confirm,auto,name tokens Vlad Valentin both present reversed order software bio,2026-06-27
michael cote,mcote7,reject,auto,company videonet holdings unrelated to cote.io no JVM repos only 12 followers common name,2026-06-27
stefan angelov,stefan50,reject,auto,"bio: FMI student, networking/games/embedded — no JVM",2026-06-27
kristiyan stoyanov,KrisKStoyanov,reject,auto,"4 same-name candidates, no JVM repos or bio to distinguish",2026-06-27
lyubomir bozhinov,lyubomir-bozhinov,reject,auto,"no JVM repos, bio generic tech leader, multiple same-name candidates",2026-06-27
nayden gochev,gochev,confirm,auto,"bio: Java/Spring, Kotlin, jug.bg co-leader, co-organizer jprime",2026-06-27
