norm_name,github_login,confidence,gh_name,gh_company,followers,method,resolved_at,recheck_after
alex soto,lordofthejars,HIGH,Alex Soto,IBM,602,fullname,2026-06-28,
abdel sghiouar,boredabdel,HIGH,Abdel SGHIOUAR,Google,528,fullname+org,2026-06-28,
adrian pasten,fredpalas,HIGH,Adrián Pastén,apperturedev,6,fullname+jvmrepo,2026-06-28,
alexander chatzizacharias,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
ana maria mihalceanu,ammbra,HIGH,Ana-Maria Mihalceanu,,170,fullname+jvmrepo,2026-06-28,
andrei tazetdinov,ataztech910,HIGH,Andrei Tazetdinov,Dynatrace,13,fullname,2026-06-28,
andrew madson,andymadson,MED,Andrew Madson,,2,fullname,2026-06-28,2026-09-26
andy igdal,AndrewIgdal17,HIGH,Andy Igdal,,0,fullname,2026-06-28,
anemari fiser,anemari,HIGH,Anemari Fiser,,6,fullname+jvmrepo,2026-06-28,
annelore egger,anneloredev,HIGH,Annelore Egger,OpenValue AG,9,fullname,2026-06-28,
archie sharma,archiesharma-hub,HIGH,Archie Sharma,,0,fullname+jvmrepo,2026-06-28,
arnau gomez farell,arnaugomez,HIGH,Arnau Gómez Farell,Tiptap,37,fullname,2026-06-28,
asier zapata,asierzapata,HIGH,Asier Zapata,Edpuzzle,14,fullname,2026-06-28,
ben evans,kittylyst,HIGH,Ben Evans,@RedHatOfficial,536,fullname,2026-06-28,
brian vermeer,bmvermeer,HIGH,Brian Vermeer,@snyk,106,fullname,2026-06-28,
bruno souza,bgsouza,MED,Bruno G. Souza,@CoffeeInCO,168,fullname,2026-06-28,2026-09-26
carles nunez,carlesnunez,HIGH,Carles Núñez,@framer ,51,fullname-ascii,2026-06-28,
carmen laura delgado perez,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
cedric clyburn,cedricclyburn,HIGH,Cedric Clyburn,Red Hat,76,fullname,2026-06-28,
dani coll,dani-coll,HIGH,Dani Coll,Dynatrace,16,fullname,2026-06-28,
david pilato,dadoonet,HIGH,David Pilato,@elastic,670,fullname,2026-06-28,
david vonthenen,davidvonthenen,HIGH,David vonThenen,@netapp,150,fullname,2026-06-28,
dennis schulz,Pluto1010,MED,Dennis Schulz,,10,fullname,2026-06-28,2026-09-26
diego rodriguez varela,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
francois martin,martinfrancois,HIGH,François Martin,@karakun,65,fullname,2026-06-28,
gerard paris,gerardparis,HIGH,Gerard París,Preply,10,fullname,2026-06-28,
gytenis mikulenas,gtennis,MED,Gytenis Mikulenas,,2,fullname-ascii,2026-06-28,2026-09-26
hugh evans,hevansDev,HIGH,Hugh Evans,,17,fullname,2026-06-28,
jordi serra gonzalez,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
jose enrique calderon sanz,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
josef rosel,jcrosel,HIGH,Josef Rosel,Dynatrace,0,fullname,2026-06-28,
josian chevalier,JosianChevalier,MED,Josian Chevalier,,6,fullname,2026-06-28,2026-09-26
julian burr,julianburr,MED,Julian Burr,,89,fullname,2026-06-28,2026-09-26
julien topcu,julien-topcu,HIGH,Julien Topçu,,48,fullname+jvmrepo,2026-06-28,
kai nitsch,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
kellyn gorman,Dbakevlar,HIGH,Kellyn Gorman,Redgate Software,66,fullname,2026-06-28,
kevin dubois,kdubois,HIGH,Kevin Dubois,IBM,126,fullname,2026-06-28,
luis fraile,lfraile,MED,Luis Fraile,,63,fullname,2026-06-28,2026-09-26
mauricio salaboy salatino,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
mauro gioberti,maurogioberti,HIGH,Mauro Gioberti,,10,fullname,2026-06-28,
mauro morales,mauromorales,HIGH,Mauro Morales,@spectrocloud,123,fullname,2026-06-28,
olena kutsenko,anelook,MED,Olena Kutsenko,,45,fullname,2026-06-28,2026-09-26
olivier leplus,tagazok,HIGH,Olivier Leplus,@aws,54,fullname,2026-06-28,
paolo ricciuti,paoloricciuti,HIGH,Paolo Ricciuti,@mainmatter ,300,fullname,2026-06-28,
rachid zarouali,xinity,HIGH,Rachid Zarouali,@sevensphereio,113,fullname,2026-06-28,
roger coll,rogercoll,HIGH,Roger Coll,@elastic,42,fullname,2026-06-28,
salih guler,salihgueler,HIGH,Muhammed Salih Guler,AWS,643,fullname,2026-06-28,
scott gerring,scottgerring,HIGH,Scott Gerring,Datadog,27,fullname,2026-06-28,
serge harb,surgeharb,HIGH,Serge Harb,,21,fullname,2026-06-28,
sergi almar,salmar,HIGH,Sergi Almar,,317,fullname+jvmrepo,2026-06-28,
sofia lescano carroll,sofia-lescano-carroll,MED,Sofia Lescano Carroll,,0,fullname,2026-06-28,2026-09-26
sofia santos,RisingFisan,HIGH,Sofia Santos,Universidade do Minho,286,fullname+dominant,2026-06-28,
steve poole,spoole167,HIGH,Steve Poole,,12,fullname+jvmrepo,2026-06-28,
suzanne daniels,suuus,HIGH,Suzanne Daniels,@microsoft,40,fullname,2026-06-28,
thomas hugle,ThomasHugleTNG,MED,Thomas Hugle,,2,fullname,2026-06-28,2026-09-26
tiffany souterre,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
toni noguera,janoguera,HIGH,Toni Noguera,,0,fullname+jvmrepo,2026-06-28,
victor rentea,victorrentea,HIGH,Victor Rentea,Independent,1464,fullname,2026-06-28,
will fleury,willfleury,HIGH,Will Fleury,Zencoder,20,fullname,2026-06-28,
wladimir szczerban,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
wout werkman,brokenhappy,HIGH,Wout Werkman,,18,fullname+jvmrepo,2026-06-28,
gojko adzic,gojko,MED,Gojko Adzic,,516,fullname,2026-06-28,2026-09-26
usman ahmad,usmangt,HIGH,Usman Ahmad,@grafana,55,fullname,2026-06-28,
mete atamel,meteatamel,HIGH,Mete Atamel,Google,434,fullname,2026-06-28,
paul bakker,paulbakker,HIGH,Paul Bakker,Netflix,414,fullname,2026-06-28,
tim berglund,tlberglund,HIGH,Tim Berglund,IBM,687,fullname+jvmrepo,2026-06-28,
james birnie,JimBobBirnie,HIGH,James Birnie,ThoughtWorks,10,fullname+jvmrepo,2026-06-28,
simon brown,simonbrowndotje,HIGH,Simon Brown,@structurizr ,745,fullname+jvmrepo,2026-06-28,
piotr ceranek,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
orysia chuda rakowska,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
holly cummins,holly-cummins,HIGH,Holly Cummins,@IBM,162,fullname,2026-06-28,
bartosz cytrowski,cytrowski,MED,Bartosz Cytrowski,,148,fullname,2026-06-28,2026-09-26
tomasz ducin,ducin,HIGH,Tomasz Ducin,@tomasz_ducin,230,fullname+dominant,2026-06-28,
pavol dudrik,palibook,MED,Pavol Dudrík,,0,fullname,2026-06-28,2026-09-26
tevfik ekici,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
zahra fakoor harehdasht,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
allison farris,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
artem fast,Inspector97,HIGH,Artem Fast,,4,fullname+jvmrepo,2026-06-28,
mary fesenko,mfesenko,MED,Mary Fesenko,Chronosphere,2,fullname,2026-06-28,2026-09-26
pasha finkelshteyn,asm0dey,HIGH,Pasha Finkelshteyn,@bell-sw,171,fullname+jvmrepo,2026-06-28,
micha furdyna,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
mario fusco,mariofusco,HIGH,Mario Fusco,IBM,1228,fullname,2026-06-28,
jakub gajski,jakubgajski,MED,Jakub Gajski,,0,fullname,2026-06-28,2026-09-26
willem jan glerum,wjglerum,HIGH,Willem Jan Glerum,@lunatech-labs ,31,fullname,2026-06-28,
micha gniadek,MichalGniadek,MED,Michał Gniadek,,25,fullname,2026-06-28,2026-09-26
serges goma,sergesgoma,MED,Sergès Goma,,2,fullname,2026-06-28,2026-09-26
gerrit grunwald,HanSolo,HIGH,Gerrit Grunwald,Azul Systems,1023,fullname,2026-06-28,
misko hevery,mhevery,HIGH,Miško Hevery,Builder.io,6259,fullname+dominant,2026-06-28,
sander hoogendoorn,aahoogendoorn,HIGH,Sander Hoogendoorn,www.sanderhoogendoorn.com,53,fullname,2026-06-28,
dotan horovits,horovits,HIGH,Dotan Horovits,,12,alias,2026-06-28,
wei hu,HcwXd,MED,Cheng-Wei Hu,,151,fullname,2026-06-28,2026-09-26
johan hutting,jhutting,HIGH,Johan Hutting,,3,fullname+jvmrepo,2026-06-28,
mackenzie jackson,techwithmack,HIGH,Mackenzie Jackson,,12,fullname+jvmrepo,2026-06-28,
szymon janikowski,szjanikowski,HIGH,Szymon Janikowski,@itlibrium ,15,fullname+jvmrepo,2026-06-28,
arnaud jean,jean-developer,MED,Jean Carlos Arnaud B.,@SoutLogic,13,fullname,2026-06-28,2026-09-26
katarzyna jurczak,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
agata kabat,agatakabat,MED,Agata Kabat,,0,fullname,2026-06-28,2026-09-26
heinz kabutz,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
radek kargul,rkargul,HIGH,Radek Kargul,,10,fullname+jvmrepo,2026-06-28,
joseph katsioloudes,jkcso,HIGH,Joseph Katsioloudes,GitHub,182,fullname,2026-06-28,
soroosh khodami,cmandesign,HIGH,Soroosh Khodami,CodeNomads,14,alias,2026-06-28,
adam krol,adamkrol93,HIGH,Adam Król,,12,fullname+jvmrepo,2026-06-28,
mateusz kulewicz,mmkay,HIGH,Mateusz Kulewicz,Canonical,25,fullname,2026-06-28,
mateusz kwasniewski,PadreMateo8,MED,Mateusz Kwaśniewski,,0,fullname,2026-06-28,2026-09-26
guillaume laforge,glaforge,HIGH,Guillaume Laforge,Google,642,fullname,2026-06-28,
piotr askawiec,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
agnieszka lasyk,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
emilia lendzion barszcz,sfc-gh-elendzionbarszcz,MED,Emilia Lendzion-Barszcz,,0,fullname-ascii,2026-06-28,2026-09-26
katarzyna leszczynska bohdan,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
james lewis,boicy,HIGH,James Lewis,ThoughtWorks,38,fullname,2026-06-28,
oleg lobanov,o1egl,HIGH,Oleg Lobanov,@Deliveroo,113,fullname+jvmrepo,2026-06-28,
andrzej ludwikowski,aludwiko,HIGH,Andrzej Ludwikowski,lightbend.com,42,fullname+jvmrepo,2026-06-28,
grzegorz yczba,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sohan maheshwar,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
artem makarov,artemy,HIGH,Artem Makarov,@CodeNomadsNL,34,fullname,2026-06-28,
