name,norm_name,affiliation
Alex Soto,alex soto,IBM
Abdel Sghiouar,abdel sghiouar,Google Cloud
Adrián Pastén,adrian pasten,Senior Software Engineer
Alexander Chatzizacharias,alexander chatzizacharias,JDriven
Ana-Maria Mihălceanu,ana maria mihalceanu,Oracle
Andrei Tazetdinov,andrei tazetdinov,Senior Software Engineer & Tech Evangelist
Andrew Madson,andrew madson,"Head of Developer Relations at Fivetran | Author of ""Apache Polaris - The Definitive Guide"". Authoring ""AI-Ready Data"" for Wiley and ""Data Transformation"" for O'Reilly"
Andy Igdal,andy igdal,"PhD Student, Energy Policy, UT Austin"
Anemari Fiser,anemari fiser,O'Reilly Author and Tech Lead trainer
Annelore Egger,annelore egger,OpenValue
Archie Sharma,archie sharma,COO at Zencoder
Arnau Gómez Farell,arnau gomez farell,AI Engineer at Tiptap
Asier Zapata,asier zapata,"Edpuzzle, Senior Staff Software Engineer"
Ben Evans,ben evans,"Observability Lead, Red Hat Runtimes"
Brian Vermeer,brian vermeer,Snyk
Bruno Souza,bruno souza,helping developers design amazing careers
Carles Nuñez,carles nunez,Product Engineer @ framer.com
Carmen Laura Delgado Pérez,carmen laura delgado perez,Open Source Community Manager at Eclipse Foundation and Step4ward Founder and Mentor
Cedric Clyburn,cedric clyburn,Red Hat
Dani Coll,dani coll,Senior Developer Advocate at Dynatrace
David Pilato,david pilato,Elastic
David vonThenen,david vonthenen,NetApp
Dennis Schulz,dennis schulz,"TNG Technology Consulting GmbH, Senior Consultant"
Diego Rodríguez Varela,diego rodriguez varela,Software Development Engineer
François Martin,francois martin,Karakun AG
Gerard París,gerard paris,Back-end Engineer at Preply
Gytenis Mikulėnas,gytenis mikulenas,"Mambu, Sr. Engineering Manager"
Hugh Evans,hugh evans,Senior Developer Advocate @ Aiven and Community Organiser
Jordi Serra Gonzalez,jordi serra gonzalez,Frontend Architect at CaixaBank Tech
José Enrique Calderón Sanz,jose enrique calderon sanz,Lead Software Engineer at JP Morgan Chase.
Josef Rosel,josef rosel,Senior Cloud Engineer at Dynatrace
Josian Chevalier,josian chevalier,Shodo
Julian Burr,julian burr,Senior Developer
Julien Topcu,julien topcu,Shodo
Kai Nitsch,kai nitsch,Senior Developer at GK Software
Kellyn Gorman,kellyn gorman,Advocate and Engineer
Kevin Dubois,kevin dubois,IBM
Luis Fraile,luis fraile,DevOps Consultant at Plain Concepts + CTO B!Play
"Mauricio ""Salaboy"" Salatino",mauricio salaboy salatino,OSS Software and Ecosystem Engineer @Diagrid / Java Champion / Cloud Native Ambassador
Mauro Gioberti,mauro gioberti,.NET Software Engineer | Devs Mentor
Mauro Morales,mauro morales,Staff Engineer at Spectro Cloud
Olena Kutsenko,olena kutsenko,
Olivier Leplus,olivier leplus,Developer Advocate at AWS & Google Developer Expert on Web Technologies
Paolo Ricciuti,paolo ricciuti,Svelte Maintainer & Senior Software Engineer at Mainmatter
Rachid Zarouali,rachid zarouali,sevensphere
Roger Coll,roger coll,"Elastic, Senior Software Engineer"
Salih Guler,salih guler,Senior Developer Advocate at AWS Amplify
Scott Gerring,scott gerring,Datadog
Serge Harb,serge harb,"Software Engineer, Preply"
Sergi Almar,sergi almar,
Sofia Lescano Carroll,sofia lescano carroll,Senior Software Engineer - Alan
Sofia Santos,sofia santos,Mews - Staff Service Designer
Steve Poole,steve poole,Developer Advocate at HeroDevs
Suzanne Daniels,suzanne daniels,Senior Chief Developer Advisor at Microsoft
Thomas Hugle,thomas hugle,"TNG Technology Consulting GmbH, Senior Consultant"
